show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
Peacemaker,8.5,2022- ,40,"Action, Adventure, Comedy",TV-MA,"60,116","Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
The Legend of Vox Machina,8.6,2022- ,30,"Animation, Action, Adventure",TV-MA,"13,128","In a desperate attempt to pay off a mounting bar tab, a band of misfits end up on a quest to save the realm of Exandria from dark, magical forces."
Daredevil,8.6,2015-2018,54,"Action, Crime, Drama",TV-MA,"4,10,433","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
The Boys,8.7,2019- ,60,"Action, Crime, Drama",TV-MA,"3,47,831",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
Raising Dion,7.2,2019- ,50,"Drama, Sci-Fi",TV-G,"13,375",A widowed single mom discovers that her son has super powers and tries to figure out how to raise him safely and responsibly.
Titans,7.6,2018- ,45,"Action, Adventure, Crime",TV-MA,"93,828",A team of young superheroes combat evil and other perils.
Star Wars: The Clone Wars,8.3,2008-2020,23,"Animation, Action, Adventure",TV-PG,"82,049",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
The Punisher,8.5,2017-2019,53,"Action, Crime, Drama",TV-MA,"2,14,770","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
The Flash,7.6,2014- ,43,"Action, Adventure, Drama",TV-PG,"3,33,285","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City."
Superman & Lois,7.9,2021- ,42,"Action, Adventure, Drama",TV-14,"27,036","The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice and parenthood in today's society."
The Umbrella Academy,8,2019- ,60,"Action, Adventure, Comedy",TV-14,"1,96,483","A family of former child heroes, now grown apart, must reunite to continue to protect the world."
Loki,8.3,2021- ,,"Action, Adventure, Fantasy",TV-14,"2,68,311",The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”
Agents of S.H.I.E.L.D.,7.5,2013-2020,45,"Action, Adventure, Drama",TV-PG,"2,11,951","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
What If...?,7.5,2021- ,32,"Animation, Action, Adventure",TV-14,"89,330","Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
Gotham,7.8,2014-2019,42,"Action, Crime, Drama",TV-14,"2,23,106",The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
Arrow,7.5,2012-2020,42,"Action, Adventure, Crime",TV-14,"4,23,527","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
Invincible,8.7,2021- ,50,"Animation, Action, Adventure",TV-MA,"1,08,479",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
Jessica Jones,7.9,2015-2019,56,"Action, Crime, Drama",TV-MA,"2,06,860","Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
DC's Legends of Tomorrow,6.8,2016- ,42,"Action, Adventure, Drama",TV-14,"1,01,285","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
The Boys Presents: Diabolical,,2022- ,14,"Animation, Action, Adventure",,,The Boys animated spin-off.
Doom Patrol,7.9,2019- ,60,"Action, Adventure, Comedy",TV-MA,"48,885",The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
Star Wars: Rebels,8,2014-2018,22,"Animation, Action, Adventure",TV-Y7-FV,"38,688",A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.
Avatar: The Last Airbender,9.3,2005-2008,23,"Animation, Action, Adventure",TV-Y7-FV,"2,88,685","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Miraculous: Tales of Ladybug & Cat Noir,7.7,2015- ,20,"Animation, Action, Adventure",TV-Y7,"10,138","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city."
My Hero Academia,8.4,2016- ,24,"Animation, Action, Adventure",TV-14,"53,888",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
Star Wars: The Bad Batch,7.9,2021- ,,"Animation, Action, Adventure",TV-PG,"25,587",The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.
Supergirl,6.2,2015-2021,43,"Action, Adventure, Drama",TV-PG,"1,20,982",The adventures of Superman's cousin in her own superhero career.
Batwoman,3.4,2019- ,45,"Action, Adventure, Crime",TV-14,"41,725",Batwoman seeks justice for Gotham City.
The Sandman,,2022- ,,"Drama, Fantasy, Horror",,,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment."
Wu Assassins,6.4,2019-,44,"Action, Crime, Drama",TV-MA,"12,334",A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown.
Naruto: Shippûden,8.6,2007-2017,24,"Animation, Action, Adventure",TV-PG,"1,11,479","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Luke Cage,7.3,2016-2018,55,"Action, Crime, Drama",TV-MA,"1,26,028","When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city."
Iron Fist,6.4,2017-2018,55,"Action, Adventure, Crime",TV-MA,"1,25,530",A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.
JoJo's Bizarre Adventure,8.5,2012- ,30,"Animation, Action, Adventure",TV-14,"19,040","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
Naruto,8.3,2002-2007,24,"Animation, Action, Adventure",TV-PG,"91,043","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
Fullmetal Alchemist: Brotherhood,9.1,2009-2012,24,"Animation, Action, Adventure",TV-14,"1,52,192",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
She-Hulk,,2022- ,,"Action, Adventure, Comedy",,,Jennifer Walters acquires Hulk-like qualities.
Heroes,7.5,2006-2010,45,"Drama, Fantasy, Sci-Fi",TV-14,"2,37,096",Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.
Stargirl,7.2,2020- ,566,"Action, Adventure, Crime",TV-PG,"16,206",Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.
One Punch Man,8.7,2015-2019,24,"Animation, Action, Comedy",TV-PG,"1,44,242","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
Legion,8.2,2017-2019,60,"Action, Drama, Sci-Fi",TV-MA,"88,131","David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever."
Bleach,8.2,2004-2012,24,"Animation, Action, Adventure",TV-14,"50,597","High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows""."
Young Justice,8.7,2010- ,23,"Animation, Action, Adventure",TV-PG,"38,249",Teenage superheroes strive to prove themselves as members of the Justice League.
Harley Quinn,8.5,2019- ,23,"Animation, Action, Adventure",TV-MA,"22,036","The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
Hit-Monkey,7.9,2021- ,22,"Animation, Action, Adventure",TV-MA,"4,950","It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld."
Star Trek: Prodigy,6.9,2021- ,24,"Animation, Action, Adventure",TV-Y7,"2,092",A group of teenagers steal a derelict Starfleet vessel and use it to explore the galaxy.
Ms. Marvel,,2022- ,,"Action, Adventure, Comedy",,,New Jersey raised Kamala Khan learns she has polymorphous powers.
Misfits,8.2,2009-2013,60,"Comedy, Drama, Fantasy",TV-MA,"98,620","A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers."
The Legend of Korra,8.3,2012-2014,23,"Animation, Action, Adventure",TV-PG,"1,15,731",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
Agent Carter,7.9,2015-2016,42,"Action, Adventure, Sci-Fi",TV-PG,"80,078","In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
Batman: The Animated Series,9,1992-1995,23,"Animation, Action, Adventure",TV-PG,"97,586",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Young Justice,8.7,2010- ,23,"Animation, Action, Adventure",TV-PG,"38,249",Teenage superheroes strive to prove themselves as members of the Justice League.
Cowboy Bebop,8.9,1998-1999,24,"Animation, Action, Adventure",TV-14,"1,10,193",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
Harley Quinn,8.5,2019- ,23,"Animation, Action, Adventure",TV-MA,"22,036","The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
Hit-Monkey,7.9,2021- ,22,"Animation, Action, Adventure",TV-MA,"4,950","It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld."
Knight Rider,6.9,1982-1986,46,"Action, Crime, Drama",TV-PG,"33,346",A lone crimefighter battles the forces of evil with the help of a virtually indestructible and artificially intelligent supercar.
Batman,7.5,1966-1968,25,"Action, Adventure, Comedy",TV-G,"21,175",The Caped Crusader and his young ward battle evildoers in Gotham City.
MacGyver,7.7,1985-1992,48,"Action, Adventure, Crime",TV-PG,"38,048",The adventures of a secret Agent armed with almost infinite scientific resourcefulness.
Star Trek: Prodigy,6.9,2021- ,24,"Animation, Action, Adventure",TV-Y7,"2,092",A group of teenagers steal a derelict Starfleet vessel and use it to explore the galaxy.
Sabrina the Teenage Witch,6.7,1996-2003,22,"Comedy, Family, Fantasy",TV-G,"37,927","When a sixteen-year-old high school student finds out she's a witch, her two aunts offer guidance on how to control her newly-discovered magical powers."
Dragon Ball Z,8.7,1989-2003,24,"Animation, Action, Adventure",TV-PG,"1,23,890","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
The A-Team,7.5,1983-1987,60,"Action, Adventure, Crime",TV-PG,"37,023","Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military."
Ms. Marvel,,2022- ,,"Action, Adventure, Comedy",,,New Jersey raised Kamala Khan learns she has polymorphous powers.
