,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
450,The Secret Saturdays,7.1,2008-2010,,"Animation, Action, Adventure",TV-Y7,"2,115",An adventuresome family of experts in the field of creatures known as cryptids attempts to protect their secrets and powers from the forces of evil.
451,Monsuno,4.9,2011- ,,"Animation, Action, Adventure",TV-Y7,557,A group of young friends find monster DNA.
452,Super Gran,6.4,1985-1987,60,"Comedy, Crime, Family",,500,The adventures of a super-powered granny who fights crime in her community.
453,T.U.F.F. Puppy,5.5,2010-2015,,"Animation, Short, Action",TV-Y7,"3,374",A secret agent labradoodle is recruited into a task force called T.U.F.F and fights injustice throughout the city in which he lives.
454,The Mighty B!,5.3,2008-2011,24,"Animation, Short, Comedy",TV-Y7,"2,429","Overachieving Honeybee scout, Bessie Higgenbottom, attempts to earn every last Bee Badge."
455,Captain Caveman and the Teen Angels,6.4,1977-1980,11,"Animation, Short, Comedy",TV-G,"3,557",The adventures of a superhero caveman and a trio of female amateur detectives.
456,Buck Rogers,6.6,1950-1951,30,Sci-Fi,,55,A twentieth century football player is swept to the twenty-fifth century and joins the battle against the local despot.
457,BraveStarr,7.1,1987-1989,30,"Animation, Action, Family",TV-Y7,"2,904",A Native American marshal and his friends keep the peace on the frontier planet of New Texas.
458,Queen of Swords,7.1,2000-2001,30,"Action, Adventure, Western",,447,"A young woman returns to her home in California after her father's mysterious death. There, she becomes a symbol, the queen of swords, fighting for justice and trying to right the wrongs the colonel has done."
459,Superman,7.1,1988,30,"Animation, Short, Action",,898,The Man of Steel fights evil in the city of Metropolis and beyond. Each episode ends with a short vignette about key events from Kal-El's youth on Earth.
460,Transformers: Armada,7.1,2002-2003,30,"Action, Animation, Adventure",TV-Y7,"1,424","The Autobots and the Decepticons are going at it again, but this time the two factions are fighting over little transformers called the Mini-Cons. These Transformers gives their masters a ... See full summary »"
461,The Adventures of Kid Danger,2.1,2018,30,"Animation, Action, Adventure",TV-Y7,854,The adventures of Ray and Henry continue as they fight old and new criminals in this animated spinoff.
462,Defenders of the Earth,7.1,1986-1991,30,"Animation, Action, Adventure",TV-Y7,"1,477",Four of the greatest comic strip heroes join forces to battle Ming the Merciless.
463,WHIH News Front,6.9,2015-2016,9,Sci-Fi,TV-PG,747,"A series of news bulletins on events within the Marvel Cinematic Universe, as presented by reporter Christine Everhart."
464,Robotboy,5.8,2005-2008,30,"Animation, Action, Comedy",TV-G,"2,173","Robotboy is a cute, cutting-edge, butt-kicking battle-robot, who dreams of becoming a real boy. Created by world-renowned scientist Professor Moshimo, Robotboy has the ability to ... See full summary »"
465,Marvel Future Avengers,5.8,2017-2018,,"Animation, Action, Adventure",TV-PG,215,"follows a young boy named Makoto, who gains superpowers due to an evil gene manipulation experiment. Makoto and other young kids with powers join the Avengers as apprentices named ""Future Avengers."""
466,Famalam,6.3,2018- ,20,Comedy,,366,"A zany, new comedy sketch show featuring an array of oddball characters and off-the-wall situations ranging from a misunderstood superhero to Croydon's leading witch-doctor."
467,Ozzy & Drix,6.9,2002-2003,30,"Animation, Short, Action",TV-Y7,"1,308",The further adventures of Osmosis Jones (Phil LaMarr) and Drix (Jeff Bennett) as they defend the body of a young boy.
