,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
201,Blade: The Series,6.3,2006,60,"Action, Drama, Fantasy",TV-14,"5,484",The adventures of the half human/vampire hunter.
202,Land of the Giants,7.1,1968-1970,60,Sci-Fi,TV-G,"2,459","A spaceship from Earth crash-lands on an Earth-like planet on which everything, including the human-like inhabitants, is twelve times the size of its counterpart on Earth."
203,Mutant X,6,2001-2004,60,"Action, Adventure, Drama",TV-PG,"4,243","A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent."
204,Zorro,8.2,1957-1959,30,"Adventure, Western",TV-G,"3,474","Don Diego de la Vega opposes the corrupt tyrants of Spanish California as the masked swordsman, Zorro."
206,Thundercats,7.9,1985-1989,30,"Animation, Action, Adventure",TV-Y7,"17,460",A team of humanoid cats fight evil in their adopted home world.
207,Transformers Prime,7.9,2010-2013,30,"Animation, Action, Adventure",TV-Y7,"6,370",In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.
208,The Adventures of Pete & Pete,8.3,1992-1996,30,"Comedy, Drama, Family",TV-Y,"9,347",This delightfully quirky show looks at the lives and adventures of two red-headed brothers with the same name.
209,The Lone Ranger,7.7,1949-1957,30,Western,TV-G,"2,438",The adventures of the masked hero and his Native American partner.
210,Dragon Ball Z Kai,8.2,2009-2015,24,"Animation, Action, Adventure",TV-14,"22,291",An HD and enhanced remaster of Dragon Ball Z.
211,Zorro,6.8,1990-1993,30,"Adventure, Family, Romance",,"1,707","In nineteenth century Spanish California, heroic masked swordsman Zorro, who's actually a local nobleman, must protect his friends and small town (or pueblo) of Los Angeles from its corrupt magistrate (or alcalde) and other menaces."
212,Ghost in the Shell: Stand Alone Complex,8.5,2002-2005,24,"Animation, Action, Crime",TV-MA,"19,318",The futuristic adventures of a female cyborg counter intelligence agent and her support team.
213,Transformers: War for Cybertron Trilogy,7.3,2020-2021,30,"Animation, Action, Adventure",TV-Y7,"3,510",Animated series set in the world of battling Autobots and Decepticons.
214,Superboy,6.2,1988-1992,30,"Adventure, Fantasy, Sci-Fi",TV-PG,"1,264",The adventures of the Man of Steel in his teenage years.
215,Rurouni Kenshin,8.4,1996-1999,24,"Animation, Action, Adventure",TV-14,"19,023",The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.
216,Totally Spies!,7.1,2001-2014,22,"Animation, Action, Adventure",TV-Y7,"9,951","Three teenage girls from Beverly Hills attempt to balance their lives as high school (later university) students with their undercover work as super-spies, battling an array of bizarre criminals."
217,Batman: The Brave and the Bold,7.3,2008-2011,30,"Animation, Action, Adventure",TV-Y7-FV,"8,710",An updated animated series centering on the Caped Crusader himself as he partners and deals with his fellow superheroes in the DC Comics universe.
218,The Rook,6.8,2019,50,"Drama, Fantasy, Sci-Fi",TV-MA,"4,623",This London-set series centers on a young woman pursued by shadowy paranormal adversaries while grappling with extraordinary abilities of her own.
219,The Electric Company,8.1,1971-2009,28,"Family, Comedy",TV-G,"1,993","A comedy variety show that teaches basic phonetic and grammar concepts using live-action sketches, cartoons, songs, and Spider-Man episodes."
220,Rise of the Teenage Mutant Ninja Turtles,5.5,2018-2020,22,"Animation, Action, Adventure",TV-Y7-FV,"2,957",Four mutant turtle brothers go on adventures where they end up tapping into mystic ninja powers.
221,Hercules,6.6,1998-1999,30,"Animation, Action, Adventure",TV-Y7,"10,313","This spin-off of Disney's Hercules (1997) follows Hercules' many labors during the years he spent training how to be a hero under the tutelage of satyr Philoctetes. Olympian Gods and Goddesses, as well as Hades and Pegasus, often visit him."
222,American Dragon: Jake Long,6.6,2005-2007,30,"Animation, Action, Comedy",TV-G,"11,514",A teenage slacker is given the ability to turn into the American Dragon and defends all mythical creatures that secretly reside in the human world.
223,Beast Wars: Transformers,8.1,1996-1999,30,"Animation, Action, Adventure",TV-Y7,"7,872","The Transformers' war continues in an older time, through a new generation. On pliocenic Earth, the heroic Maximals and the evil Predacons battle for survival against each other and against a violent planet."
224,Powers,6.7,2015-2016,42,"Action, Crime, Drama",TV-MA,"6,431","Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner."
225,The Powers of Matthew Star,6.2,1982-1983,60,"Action, Adventure, Sci-Fi",,445,"The adventures of high-school student Matthew Star, who is actually a superpowered alien Prince from another world."
226,Robin Hood,8.4,1984-1986,60,"Action, Drama, Fantasy",TV-PG,"4,372",A forest mystical being appoints two men in succession as the legendary outlaw defender of the oppressed.
227,Big Hero 6: The Series,7.2,2017-2021,21,"Animation, Action, Adventure",TV-Y7,"1,926","Teen genius Hiro Hamada, Baymax the robot, and their friends defend the city of San Fransokyo as superheroes."
229,Jackie Chan Adventures,7.4,2000-2005,30,"Animation, Action, Adventure",TV-Y7,"18,983",Jackie Chan and his extended family must fight a criminal organization for magic talismans that could release an evil spirit.
230,Marvel Studios: Legends,6.5,2021- ,7,"Short, Action, Fantasy",TV-14,"3,925",This series showcases individual characters from the MCU viewers have come to know and love over the years and revisit some of their most iconic moments.
231,Trigun,8.2,1998,24,"Animation, Action, Adventure",TV-14,"21,046",Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!
232,"What's New, Scooby-Doo?",7.3,2002-2006,30,"Animation, Adventure, Comedy",TV-Y7,"9,250","Scooby-Doo and the Mystery, Inc. gang are launched into the 21st century, with new mysteries to solve."
233,Inspector Gadget,6.8,1983-1986,30,"Animation, Action, Adventure",TV-Y7,"20,514","A bumbling bionic police inspector stumbles about on his cases, while his niece and dog secretly do the real investigative work."
234,Extreme Ghostbusters,6.9,1997,23,"Animation, Action, Adventure",TV-Y7,"3,015","Several years after the events of the original show and the movies, Dr. Egon Spengler agrees to help a group of his young students re-form the Ghostbusters under his mentorship."
235,Happy Tree Friends,7,2000-2016,21,"Animation, Comedy, Horror",TV-14,"17,152",A series of horrible sudden deaths keep happening to a group of creatures caused by themselves doing the most stupid things.
236,Mortal Kombat: Legacy,7.4,2011-2013,10,"Short, Action, Adventure",TV-MA,"9,660","The first season of Mortal Kombat: Legacy is a prequel to the original game, explaining the background stories of several characters from the series and demonstrating their reasons for ... See full summary »"
